时间,AQI指数,PM2.5,PM10,CO,NO2,SO2,O3
2017/8/8 12:00,34,13,33,0.6,22,4,72
2017-08-08 12:00:00,34,13,33,0.6,22,4,72,
2017-08-08 14:00:00,29,10,21,0.61,18,3,60,
