时间,AQI指数,PM2.5,PM10,CO,NO2,SO2,O3
2017-08-08 12:00:00,73,26,55,0.68,28,4,177,
2017-08-08 12:00:00,73,26,55,0.68,28,4,177,
2017-08-08 14:00:00,118,25,50,0.57,22,3,234,
2017-08-08 14:00:00,118,25,50,0.57,22,3,234,
